"PRODUCTOS ","CATEGORÍA ","ESTADO ","FECHA ",Ganancia por unidad,"PROVEEDOR ",Precio de Compra,Precio de Venta,Stock Actual,Stock Mínimo
Anillo curvado SKU-NH48/ T6,ANILLO,✅ Disponible1,,"-4,38","Frutería Central ","4,38 US$","0,00 US$",1,0
PULSERA NUDO DORADA SKU-NH44,PULSERA,✅ Disponible1,,"-2,23","Tienda El Encanto ","2,23 US$","0,00 US$",1,0
ANILLO GEOMETRICO OVALADO SKU-83 /8,ANILLO,✅ Disponible1,,"-2,98",,"2,98 US$",,1,
COLLAR CLASICO CASCARON SKU-NH36,COLLAR,✅ Disponible1,,"-2,17",,"2,17 US$",,1,
COLLAR FORMA DE CORAZON SKU-NH446,COLLAR,✅ Disponible2,,"-2,33",,"2,33 US$",,2,
ARETES ROSAS SKU-61,ARETES,✅ Disponible1,,"-3,13",,"3,13 US$",,1,
COLLAR CORAZON COLGANTE SKU-77,COLLAR,✅ Disponible1,,"-2,99",,"2,99 US$",,1,
ANILLO GEOMETRICO ASPIRAL SKU-NH44 /8,ANILLO,✅ Disponible1,,"-3,05",,"3,05 US$",,1,
COLLAR CORZON NUDO DE LAZO SKU-NH38,COLLAR,✅ Disponible1,,"-3,12",,"3,12 US$",,1,
ANILLO DIAMANTE SKU-62 /7 & 8,ANILLO,✅ Disponible2,,"-1,94",,"1,94 US$",,2,
ARETES GEOMETRICOS SKU-63,ARETES,✅ Disponible1,,"-2,72",,"2,72 US$",,1,
ARETES LINEAL  SKU-62,ARETES,✅ Disponible1,,"-2,99",,"2,99 US$",,1,
SET PULSERA BOHEMIO DORADO SKU-20,SET PULSERAS,✅ Disponible2,,"-11,4",,"11,40 US$",,2,
COLLAR LETRA A SKU-NH36,COLLAR,✅ Disponible1,,"-2,5",,"2,50 US$",,1,
ANILLO GEOMETRICO SKU-NH41,ANILLO,✅ Disponible1,,"-1,801",,"1,80 US$",,1,
ANILLO CORAZON SKU-35,ANILLO,✅ Disponible1,,"-0,9",,"0,90 US$",,1,
COLLAR 11.11 SKU-04,COLLAR,✅ Disponible2,,"-1,44",,"1,44 US$",,2,
ARETES RALLADO SKU-89,ARETES,✅ Disponible1,,"-1,62",,"1,62 US$",,1,
COLLAR ROJO CORAZON SKU-10,COLLAR,✅ Disponible1,,"-2,99",,"2,99 US$",,1,
ANILLO DIAMANTE SKU-68 N/6,ANILLO,✅ Disponible1,,"-1,67",,"1,67 US$",,1,
PULSERA SERPIENTE SKU-04,PULSERA,✅ Disponible1,,"-4,19",,"4,19 US$",,1,
ARETES GOTAS GRANDE SKU-85,ARETES,✅ Disponible1,,"-2,16",,"2,16 US$",,1,
PULSERA RELOJ SKU-NH440,PULSERA,✅ Disponible1,,"-2,46",,"2,46 US$",,1,
PULSERA OVALADA SKU22,PULSERA,✅ Disponible2,,"-2,71",,"2,71 US$",,2,
ARETES DIAMANTE SKU-90,ARETES,✅ Disponible1,,"-2,82",,"2,82 US$",,1,
COLLAR PERLA ASIMETRICO SKU-52,COLLAR,✅ Disponible1,,"-2,23",,"2,23 US$",,1,
ANILLO TRIAL ROJO SKU-40,ANILLO,✅ Disponible1,,"-0,9",,"0,90 US$",,1,
ARETES ASPIRAL SKU-61,ARETES,✅ Disponible2,,"-1,16",,"1,16 US$",,2,
ARETES ROSCONES  SKU-68,ARETES,✅ Disponible1,,"-2,82",,"2,82 US$",,1,
